S.no,FPOI ,LAT,LONG,GPs connected,
488,PERINTHALMANNA,10.91187,76.22491,1,
489,PERINTHALMANNA,11.05339,76.28102,1,
490,PERINTHALMANNA,10.90175,76.19556,1,
491,PERINTHALMANNA,10.95376,76.32110,1,
492,PERINTHALMANNA,11.01930,76.28375,1,
493,PERUMPADAPPU,10.73787,76.02896,1,
494,PERUMPADAPPU,10.74031,75.97298,1,
495,PERUMPADAPPU,10.71776,76.01959,1,
496,PERUMPADAPPU,10.70199,75.98261,1,
497,PERUMPADAPPU,10.72122,75.97665,1,
498,PONNANI,10.78547,76.00436,1,
499,PONNANI,10.82783,75.99415,1,
500,PONNANI,10.83662,75.99297,1,
501,PONNANI,10.78569,76.02469,1,
502,TANUR,10.95342,75.94628,1,
503,TANUR,10.98151,75.90471,1,
504,TANUR,10.94534,75.94107,1,
505,TANUR,10.95140,75.91322,1,
506,TANUR,10.94001,75.97549,1,
507,TANUR,10.98223,75.87536,4,
508,TIRUR,10.84882,75.92208,1,
509,TIRUR,10.88306,75.93137,1,
510,TIRUR,10.84941,75.94177,1,
511,TIRUR,10.88654,75.89522,3,
512,TIRURANGADI,11.08015,75.90232,1,
513,TIRURANGADI,11.01117,75.92357,1,
514,TIRURANGADI,11.04540,75.86015,1,
515,TIRURANGADI,11.10529,75.92574,1,
516,TIRURANGADI,11.11902,75.89346,1,
517,TIRURANGADI,11.03976,75.91185,1,
518,TIRURANGADI,11.11877,75.84320,1,
519,VENGARA,11.06758,75.94071,1,
520,VENGARA,10.99103,75.97918,1,
521,VENGARA,11.08242,75.97076,1,
522,VENGARA,11.01380,75.99467,1,
523,VENGARA,10.99387,75.98051,1,
524,VENGARA,11.05150,75.98678,1,
525,WANDOOR,11.23770,76.20597,1,
526,WANDOOR,11.12684,76.23354,1,
527,WANDOOR,11.16205,76.22853,1,
528,WANDOOR,11.20114,76.17944,1,
529,WANDOOR,11.16553,76.13139,1,
530,WANDOOR,11.19521,76.23995,2,
531,ALATHUR,10.64857,76.54400,1,
532,ALATHUR,10.64687,76.56360,1,
533,ALATHUR,10.61593,76.47050,1,
534,ALATHUR,10.66210,76.52010,1,
535,ALATHUR,10.57735,76.48932,1,
536,ALATHUR,10.63407,76.45025,1,
537,ALATHUR,10.67052,76.48093,1,
538,ALATHUR,10.59612,76.48673,1,
539,ALATHUR,10.58885,76.51685,1,
540,ATTAPPADI,11.10409,76.65326,1,
541,ATTAPPADI,11.15645,76.64495,1,
542,ATTAPPADI,11.11695,76.74652,1,
543,CHITTUR,10.64945,76.74292,1,
544,CHITTUR,10.73100,76.78725,1,
545,CHITTUR,10.73795,76.83111,1,
546,CHITTUR,10.64943,76.76323,3,
547,KOLLENGODE,10.61338,76.69138,1,
548,KOLLENGODE,10.60672,76.76097,1,
549,KOLLENGODE,10.64337,76.69355,3,
550,KUZHALMANNAM,10.72721,76.65488,1,
551,KUZHALMANNAM,10.76600,76.54355,1,
552,KUZHALMANNAM,10.71972,76.60111,1,
553,KUZHALMANNAM,10.73917,76.57548,1,
554,KUZHALMANNAM,10.75314,76.48145,3,
555,MALAMPUZHA,10.81150,76.64328,1,
556,MALAMPUZHA,10.75813,76.75055,1,
557,MALAMPUZHA,10.82164,76.66762,1,
558,MALAMPUZHA,10.78735,76.67190,1,
559,MALAMPUZHA,10.69848,76.68710,1,
560,MALAMPUZHA,10.72988,76.73312,1,
561,MALAMPUZHA,10.80315,76.62253,1,
562,MALAMPUZHA,10.79634,76.74055,1,
563,MANNARKAD,11.01083,76.34433,1,
564,MANNARKAD,11.00363,76.51067,1,
565,MANNARKAD,10.93367,76.50243,1,
566,MANNARKAD,10.99688,76.39300,1,
567,MANNARKAD,10.98988,76.44017,1,
568,MANNARKAD,10.95805,76.50945,1,
569,MANNARKAD,10.95907,76.35627,4,
570,NEMMARA,10.60672,76.56047,1,
571,NEMMARA,10.59352,76.60015,1,
572,NEMMARA,10.63350,76.65827,4,
573,OTTAPPALAM,10.82667,76.34805,1,
574,OTTAPPALAM,10.83777,76.31083,1,
575,OTTAPPALAM,10.78215,76.32482,1,
576,OTTAPPALAM,10.83263,76.41618,1,
577,OTTAPPALAM,10.77928,76.44303,1,
578,PALAKKAD,10.82453,76.49682,1,
579,PALAKKAD,10.74465,76.69363,1,
580,PALAKKAD,10.78333,76.49973,1,
581,PALAKKAD,10.80113,76.47687,1,
582,PALAKKAD,10.83723,76.57888,1,
583,PALAKKAD,10.79023,76.55862,1,
